name,O,M,R,W,ECON
Shaheen Shah Afridi,8,0,54,1,6.75
Imad Wasim,10,0,48,0,4.80
Wahab Riaz,10,0,46,3,4.60
Shadab Khan,10,1,50,3,5.00
Mujeeb Ur Rahman,10,0,39,3,3.90
Dawlat Zadran,9,0,64,1,7.11
Mohammad Nabi,10,0,44,1,4.40
Gulbadin Naib,10,1,56,2,5.60
Rashid Khan,10,0,52,0,5.20
Rahmat Shah,1,0,7,0,7.00
Mashrafe Mortaza,7,0,37,0,5.28
Mustafizur Rahman,8,1,32,2,4.00
Mohammad Saifuddin,8,0,33,1,4.12
Shakib Al Hasan,10,1,29,5,2.90
Mehidy Hasan Miraz,8,0,37,0,4.62
Mosaddek Hossain,6,0,25,1,4.16
Chris Woakes,10,0,46,2,4.60
Jofra Archer,9,0,56,1,6.22
Mark Wood,9,0,59,1,6.55
Ben Stokes,6,0,29,1,4.83
Moeen Ali,6,0,42,1,7.00
Adil Rashid,10,0,49,0,4.90
Jason Behrendorff,10,0,44,5,4.40
Mitchell Starc,8.4,1,43,4,4.96
Pat Cummins,8,1,41,0,5.12
Nathan Lyon,9,0,43,0,4.77
Marcus Stoinis,7,0,29,1,4.14
Glenn Maxwell,2,0,15,0,7.50
Mohammad Hafeez,7,0,22,0,3.14
Mohammad Amir,10,0,67,1,6.70
Shaheen Shah Afridi,10,3,28,3,2.80
Imad Wasim,3,0,17,0,5.66
Shadab Khan,10,0,43,1,4.30
Wahab Riaz,10,0,55,0,5.50
Trent Boult,10,0,48,1,4.80
Matt Henry,7,0,25,0,3.57
Lockie Ferguson,8.1,0,50,1,6.12
Colin de Grandhomme,2,0,12,0,6.00
Mitchell Santner,10,0,38,0,3.80
James Neesham,3,0,20,0,6.66
Kane Williamson,8,0,39,1,4.87
Colin Munro,1,0,9,0,9.00
Sheldon Cottrell,10,0,50,2,5.00
Kemar Roach,10,0,36,3,3.60
Oshane Thomas,7,0,63,0,9.00
Fabian Allen,10,0,52,0,5.20
Jason Holder,10,2,33,2,3.30
Carlos Brathwaite,3,0,33,0,11.00
Mohammed Shami,6.2,0,16,4,2.52
Jasprit Bumrah,6,1,9,2,1.50
Hardik Pandya,5,0,28,1,5.60
Kuldeep Yadav,9,1,35,1,3.88
Kedar Jadhav,1,0,4,0,4.00
Yuzvendra Chahal,7,0,39,2,5.57
Kagiso Rabada,10,2,36,2,3.60
Chris Morris,9.3,0,46,3,4.84
Dwaine Pretorius,10,2,25,3,2.50
Andile Phehlukwayo,8,0,38,1,4.75
Imran Tahir,10,0,36,0,3.60
Jean-Paul Duminy,2,0,15,1,7.50
Lasith Malinga,10,1,47,1,4.70
Dhananjaya de Silva,4,0,18,0,4.50
Suranga Lakmal,6,0,47,0,7.83
Thisara Perera,5.2,1,28,0,5.25
Jeevan Mendis,7,0,36,0,5.14
Isuru Udana,5,0,29,0,5.80
Imad Wasim,10,0,48,2,4.80
Mohammad Amir,10,1,41,0,4.10
Shaheen Shah Afridi,10,0,47,4,4.70
Mohammad Hafeez,2,0,10,0,5.00
Wahab Riaz,8,0,29,2,3.62
Shadab Khan,10,0,44,1,4.40
Mujeeb Ur Rahman,10,1,34,2,3.40
Hamid Hassan,2,0,13,0,6.50
Gulbadin Naib,9.4,0,73,0,7.55
Mohammad Nabi,10,0,23,2,2.30
Rashid Khan,10,0,50,1,5.00
Samiullah Shinwari,8,0,32,0,4.00
Trent Boult,10,1,51,4,5.10
Colin de Grandhomme,8,1,29,0,3.62
Lockie Ferguson,10,0,49,2,4.90
Ish Sodhi,6,0,35,0,5.83
James Neesham,6,0,28,2,4.66
Mitchell Santner,3,0,23,0,7.66
Kane Williamson,7,0,25,1,3.57
Jason Behrendorff,9,0,31,2,3.44
Mitchell Starc,9.4,1,26,5,2.68
Pat Cummins,6,1,14,1,2.33
Nathan Lyon,10,0,36,1,3.60
Steven Smith,2,0,6,1,3.00
Aaron Finch,1,0,7,0,7.00
Marcus Stoinis,2,0,12,0,6.00
Glenn Maxwell,4,0,18,0,4.50
Mohammed Shami,10,1,69,5,6.90
