name,dismissal,R,B,M,4s,6s,SR,out or not_out
Chris Woakes,not out,1,1,6,0,0,100.00,not_out
Noor Ali Zadran,b Archer,0,7,8,0,0,0.00,out
Gulbadin Naib(c),c Buttler b Wood,37,28,52,4,1,132.14,out
Rahmat Shah,c Bairstow b Rashid,46,74,98,3,1,62.16,out
Hashmatullah Shahidi,b Archer,76,100,145,5,2,76.00,out
Asghar Afghan,c Root b Rashid,44,48,68,3,2,91.66,out
Mohammad Nabi,c Stokes b Rashid,9,7,8,0,1,128.57,out
Najibullah Zadran,b Wood,15,13,21,0,1,115.38,out
Rashid Khan,c Bairstow b Archer,8,13,19,1,0,61.53,out
Ikram Alikhil,not out,3,10,18,0,0,30.00,not_out
Dawlat Zadran,not out,0,0,2,0,0,-,not_out
Quinton de Kock,b Boult,5,8,8,1,0,62.50,out
Hashim Amla,b Santner,55,83,111,4,0,66.26,out
Faf du Plessis(c),b Ferguson,23,35,53,4,0,65.71,out
Aiden Markram,c Munro b de Grandhomme,38,55,74,4,0,69.09,out
Rassie van der Dussen,not out,67,64,100,2,3,104.68,not_out
David Miller,c Boult b Ferguson,36,37,55,2,1,97.29,out
Andile Phehlukwayo,c Williamson b Ferguson,0,5,12,0,0,0.00,out
Chris Morris,not out,6,7,12,1,0,85.71,not_out
Martin Guptill,hit wicket b Phehlukwayo,35,59,68,5,0,59.32,out
Colin Munro,c & b Rabada,9,5,12,2,0,180.00,out
Kane Williamson(c),not out,106,138,216,9,1,76.81,not_out
Ross Taylor,c de Kock b Morris,1,2,6,0,0,50.00,out
Tom Latham,c de Kock b Morris,1,4,10,0,0,25.00,out
James Neesham,c Amla b Morris,23,34,60,3,0,67.64,out
Colin de Grandhomme,c du Plessis b Ngidi,60,47,70,5,2,127.65,out
Mitchell Santner,not out,2,3,14,0,0,66.66,not_out
David Warner,c Rubel Hossain b Soumya Sarkar,166,147,184,14,5,112.92,out
